icpsr,first,last,fullname,state,chamber,district,party,start,end,twitter,fold,num.tweets,done.handle.no.file,missing,tweets.svd,prop.tweets,has.alt
20916,brett,guthrie,brettguthrie,KY,House,2,R,01/06/2009,01/03/2019,repguthrie,6,695,0,0,518,0.745,1
20916,brett,guthrie,brettguthrie,KY,House,2,R,01/06/2009,01/03/2019,brettguthrie,,,,,,,1
29348,luis,gutierrez,luisgutierrez,IL,House,4,D,01/05/1993,01/03/2019,repgutierrez,3,4442,1,0,3460,0.779,1
29348,luis,gutierrez,luisgutierrez,IL,House,4,D,01/05/1993,01/03/2019,LuisGutierrez,,,,,,,1
40907,kay,hagan,kayhagan,NC,Senate,NA,D,01/06/2009,01/03/2015,kayhagan,2,1424,0,0,1343,0.943,0
21195,janice,hahn,janicehahn,CA,House,NA,D,7/19/2011,12/04/2016,supjanicehahn,2,4297,0,0,2823,0.657,1
21195,janice,hahn,janicehahn,CA,House,NA,D,7/19/2011,12/04/2016,JaniceHahn,,,,,,,1
14828,ralph,hall,ralphhall,TX,House,NA,R,01/05/1981,01/03/2015,ralphhallpress,5,398,0,0,7,0.018,0
21124,colleen,hanabusa,colleenhanabusa,HI,House,1,D,01/05/2011,01/03/2019,rephanabusa,5,1199,0,0,907,0.756,1
21124,colleen,hanabusa,colleenhanabusa,HI,House,1,D,01/05/2011,01/03/2019,ColleenHanabusa,,,,,,,1
,karen,handel,karenhandel,GA,House,6,D,,,RepKHandel,,,,,,,1
,karen,handel,karenhandel,GA,House,6,D,,,karenhandel,,,,,,,1
21157,richard,hanna,richardhanna,NY,House,NA,R,01/05/2011,01/03/2017,reprichardhanna,2,3298,0,0,3026,0.918,0
NA,cresent,hardy,cresenthardy,NV,House,NA,R,01/06/2015,01/03/2017,rephardy,1,1147,0,0,1034,0.901,1
NA,cresent,hardy,cresenthardy,NV,House,NA,R,01/06/2015,01/03/2017,CresentHardy,,,,,,,1
14230,thomas,harkin,thomasharkin,IA,Senate,NA,D,1/14/1975,01/03/2015,senatorharkin,7,2578,0,0,2417,0.938,0
20925,gregg,harper,greggharper,MS,House,3,R,01/06/2009,01/03/2019,greggharper,0,2983,0,0,2159,0.724,1
