,date,total,total_p,house,house_p,senate,senate_p,dems,dems_p,gop,gop_p,total_r,dems_r,gop_r,house_r,senate_r
164,2015-02-22,9329,1965,6664,1484,2624,477,4140,768,4917,1177,0.21063350841462108,0.1855072463768116,0.23937360178970918,0.22268907563025211,0.18178353658536586
165,2015-03-01,8420,1218,6082,915,2316,301,3764,421,4407,779,0.14465558194774347,0.11184909670563231,0.17676423871114136,0.1504439329168037,0.12996545768566495
166,2015-03-08,7753,815,5292,506,2436,308,3583,280,3946,515,0.10512059847800852,0.07814680435389339,0.13051191079574254,0.09561602418745276,0.12643678160919541
167,2015-03-15,8781,1177,6236,819,2488,356,3859,466,4630,676,0.13403940325703223,0.12075667271313811,0.14600431965442764,0.13133418858242463,0.14308681672025725
168,2015-03-22,8933,1261,6310,805,2598,454,4026,470,4615,751,0.14116198365610658,0.11674118231495281,0.1627302275189599,0.12757527733755944,0.1747498075442648
169,2015-03-29,6267,668,4575,517,1663,148,2913,204,3067,432,0.10659007499601085,0.07003089598352215,0.14085425497228563,0.11300546448087431,0.08899579073962718
170,2015-04-05,6877,575,4999,450,1829,124,2988,148,3721,412,0.08361204013377926,0.049531459170013385,0.11072292394517602,0.09001800360072014,0.06779661016949153
171,2015-04-12,9517,1124,6890,849,2607,274,4484,396,4851,716,0.11810444467794473,0.08831400535236396,0.14759843331271902,0.12322206095791001,0.10510164940544688
172,2015-04-19,8597,831,6233,590,2338,241,4412,386,4027,429,0.0966616261486565,0.08748866727107887,0.1065309163148746,0.09465746831381357,0.10307955517536356
173,2015-04-26,8654,809,6161,591,2472,218,4157,372,4354,426,0.0934827825283106,0.08948761125811884,0.09784106568672485,0.09592598604122707,0.08818770226537216
174,2015-05-03,8312,600,5602,324,2685,274,3894,276,4225,298,0.07218479307025986,0.07087827426810478,0.07053254437869823,0.057836486968939664,0.10204841713221602
175,2015-05-10,9127,989,6568,727,2545,262,3946,399,5002,568,0.10835981154815383,0.10111505321844906,0.1135545781687325,0.11068818514007309,0.10294695481335953
176,2015-05-17,8771,872,6049,548,2701,323,4226,393,4371,464,0.0994185383650667,0.09299574065309986,0.10615419812399908,0.09059348652669863,0.11958533876342095
177,2015-05-24,6421,717,4573,560,1815,156,2826,164,3441,541,0.11166484971188288,0.05803255484784147,0.15722173786689916,0.12245790509512355,0.0859504132231405
178,2015-05-31,8307,875,5890,646,2397,229,3795,325,4344,537,0.10533285181172505,0.08563899868247694,0.12361878453038674,0.10967741935483871,0.09553608677513559
179,2015-06-07,8631,1148,5904,784,2711,362,3881,463,4585,667,0.1330089213300892,0.11929914970368462,0.14547437295528898,0.13279132791327913,0.13353006270748802
180,2015-06-14,8871,1007,6229,706,2620,299,4121,411,4569,578,0.11351595085108782,0.09973307449648143,0.1265047056248632,0.11334082517257987,0.11412213740458016
