handle,count,start_date,protected
RepGrothman,2673,2015-01-13 15:08:48,False
GrothmanforWI,1423,2014-04-08 03:13:20,False
frankguinta,894,2008-11-27 09:45:07,False
RepFrankGuinta,2171,2011-01-11 19:20:05,False
RepGuthrie,996,2013-09-26 14:37:17,False
brettguthrie,764,2010-02-16 01:12:14,False
RepGutierrez,6336,2009-05-01 14:03:50,False
LuisGutierrez,31,2011-06-22 14:11:23,False
kayhagan,1422,2008-07-23 20:59:53,False
SupJaniceHahn,7271,2011-07-21 19:22:22,False
JaniceHahn,598,2009-02-18 01:42:59,False
RalphHallPress,398,2013-02-06 19:35:46,False
RepHanabusa,2625,2011-01-08 01:13:45,False
ColleenHanabusa,3242,2009-04-03 02:15:51,False
karenhandel,3659,2008-07-31 12:14:29,False
RepRichardHanna,3292,2011-01-11 16:34:58,False
RepHardy,1141,2015-01-06 14:08:31,False
SenatorHarkin,2578,2010-02-19 18:47:20,False
GreggHarper,3330,2009-03-11 03:02:52,False
HarperCampaign,147,2009-10-30 00:10:27,False
KamalaHarris,13721,2009-04-11 00:42:07,False
RepAndyHarrisMD,3309,2012-11-20 18:31:27,False
Harris4Congress,65,2010-03-13 16:46:35,False
RepHartzler,7483,2011-01-13 15:38:52,False
VickyH4Congress,326,2016-07-11 19:48:37,False
SenatorHassan,8851,2012-11-13 21:27:37,False
Maggie_Hassan,2521,2011-08-25 00:19:24,False
DocHastings,804,2011-10-31 12:59:01,False
RepHastingsFL,2781,2014-04-08 14:53:21,False
alcee4congress,403,2014-02-17 13:33:15,False
senorrinhatch,12740,2011-03-08 18:04:18,False
OrrinHatch,3256,2008-12-16 19:36:45,False
NanHayworth,20040,2011-01-10 20:43:46,False
RepDennyHeck,4908,2013-01-07 14:55:36,False
DennyHeck,42,2009-08-09 20:35:24,False
MartinHeinrich,8291,2013-01-17 20:24:19,False
TeamHeinrich,3381,2010-08-26 01:56:16,False
SenatorHeitkamp,12385,2013-01-04 17:57:48,False
HeidiHeitkamp,2524,2012-01-10 17:57:11,False
SenDeanHeller,7045,2011-03-14 18:31:08,False
DeanHeller,4893,2009-05-20 14:01:08,False
RepHensarling,1075,2009-01-02 23:08:57,False
HerreraBeutler,1583,2011-01-25 22:36:44,False
JaimeForUSRep,403,2009-12-19 19:17:31,False
CongressmanHice,3992,2015-01-12 18:48:35,False
JodyHice,767,2010-04-06 01:34:45,False
CaptClayHiggins,24,2018-06-25 01:07:40,False
RepClayHiggins,1280,2017-03-20 01:35:02,False
RepBrianHiggins,15343,2009-04-20 16:47:06,False
RepFrenchHill,3605,2014-12-31 23:54:58,False
ElectFrench,775,2013-09-07 03:52:28,False
jahimes,11058,2009-04-16 02:38:33,False
mauricehinchey,0,2009-09-17 21:49:26,False
USRepRHinojosa,2125,2011-01-18 18:13:06,False
Ruben_Hinojosa,270,2011-07-27 01:07:44,False
maziehirono,6065,2009-11-24 03:10:37,False
mazieforhawaii,1503,2010-07-21 19:47:58,False
RepKathyHochul,847,2011-06-14 16:31:52,False
KathyHochul,2526,2010-03-31 17:56:10,False
LtGovHochulNY,7544,2015-01-13 21:03:25,False
SenJohnHoeven,4035,2011-09-30 17:55:30,False
hoeven4senate,424,2010-01-20 14:42:44,False
TimHoldenPA17,26,2010-04-28 01:49:07,False
RepHolding,983,2013-01-03 18:27:36,False
GeorgeHolding,445,2011-07-12 20:03:29,False
RepTrey,841,2016-12-22 17:26:30,False
VoteForTrey,333,2015-08-19 04:05:41,False
RushHolt,938,2010-02-04 18:30:00,False
RepMikeHonda,2961,2008-10-03 20:18:31,False
mikehonda17,1155,2012-03-06 18:28:51,False
RepHorsford,3916,2011-10-13 02:23:25,False
StevenHorsford,2731,2011-02-02 21:26:52,False
StenyHoyer,1323,2011-03-15 17:56:32,False
RepRichHudson,8290,2012-11-08 17:41:00,False
RichHudson,1632,2008-10-20 21:04:40,False
CongHuelskamp,8376,2011-01-04 01:43:06,False
TimHuelskamp,1117,2008-12-11 18:37:18,False
JaredHuffman,13669,2011-07-13 20:49:36,False
RepHuffman,3397,2013-01-08 14:52:00,False
RepHuizenga,7176,2011-01-04 14:01:28,False
billhuizenga,2686,2009-03-11 20:11:05,False
RepHultgren,4973,2011-01-13 18:03:42,False
RandyHultgren,394,2009-09-29 19:00:28,False
